timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-07-08T00:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.53,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.44,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.12,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.17,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.383,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.685,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,15.32,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.09,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.55,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,2.2800000000000002,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.65,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.04,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,5.088,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.48,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,14.2,43.43735,-70.3494667,0x429b27d9
2026-07-08T00:35:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.51,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.53,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,5.385,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.3000000000000003,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.777,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.06,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,14.23,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.56,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,1.37,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,4.53,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,13.84,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.5740000000000001,43.43735,-70.3494667,0x429b27d9
2026-07-08T01:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.654,43.43735,-70.3494667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.817,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,13.8,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.07,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.768,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.39,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,1.69,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.52,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:05:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.12,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.61,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.21,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.59,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,3.688,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,3.7600000000000002,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.11,43.4373667,-70.3493667,0x429b27d9
2026-07-08T02:35:30.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,13.95,43.4373667,-70.3493667,0x429b27d9
