Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1788912000,hdr,43.4377835,-70.3492222,0.219,10.24,4.914,154.178,45.394,155.578,57.715,2.06,201,0.029296875,0.126953125,0.155,11.509,152.894,55.037,0.126953125,0.80078125,0.155,3.122,160.278,61.353
1788912900,hdr,43.4377887,-70.3492163,0.221,10.24,4.777,160.607,38.834,154.046,59.392,1.63,189,0.029296875,0.126953125,0.163,11.236,157.497,53.438,0.126953125,0.80078125,0.15,2.851,145.839,66.565
1788913200,embedded,43.4377833,-70.3492167,0.22,11.38,4.8,153.317,48.764,153.277,58.651,1.6,194,,,,,,,,,,,,
1788913800,hdr,43.4377697,-70.3491987,0.215,11.378,4.764,150.633,60.826,143.273,62.132,1.13,135,0.029296875,0.126953125,0.148,11.757,143.917,64.683,0.126953125,0.80078125,0.155,3.09,143.092,60.665
1788914700,hdr,43.4377975,-70.3492665,0.229,11.378,5.942,152.346,38.768,150.879,53.589,0.87,141,0.029296875,0.126953125,0.181,11.581,151.776,49.269,0.126953125,0.80078125,0.141,3.285,149.309,62.691
1788915000,embedded,43.4377833,-70.34925,0.22,11.38,5.62,156.178,48.032,149.957,57.861,0.8,142,,,,,,,,,,,,
1788915600,hdr,43.4378007,-70.3492525,0.217,10.24,5.796,146.607,42.746,155.528,56.968,1.0,234,0.029296875,0.126953125,0.171,11.008,155.488,53.986,0.126953125,0.80078125,0.133,3.247,156.999,64.345
1788916500,hdr,43.4377833,-70.3492215,0.192,11.378,5.421,150.596,54.959,152.141,62.059,0.92,260,0.029296875,0.126953125,0.143,11.286,154.394,58.299,0.126953125,0.80078125,0.128,3.288,148.487,67.223
1788916800,embedded,43.4377667,-70.3492167,0.21,10.24,5.66,153.178,45.664,155.488,58.658,0.8,200,,,,,,,,,,,,
1788917400,hdr,43.437755,-70.3491903,0.199,11.378,5.473,150.385,49.683,151.573,58.084,0.95,188,0.029296875,0.126953125,0.151,10.805,154.452,55.238,0.126953125,0.80078125,0.131,3.307,147.558,63.048
1788918300,hdr,43.4377047,-70.34916,0.201,11.378,4.851,152.331,52.696,154.443,58.629,1.11,198,0.029296875,0.126953125,0.142,10.83,158.625,57.119,0.126953125,0.80078125,0.141,3.111,148.93,62.909
1788918600,embedded,43.4376833,-70.34915,0.19,11.38,4.94,151.382,51.376,152.208,59.011,1.2,177,,,,,,,,,,,,
1788919200,hdr,43.4376998,-70.3491653,0.189,10.24,4.766,156.923,40.327,150.192,54.987,1.11,139,0.029296875,0.126953125,0.136,10.559,157.285,51.406,0.126953125,0.80078125,0.13,2.979,140.059,59.042
1788920100,hdr,43.4377017,-70.349165,0.191,10.24,4.852,164.676,51.711,155.079,55.631,1.02,139,0.029296875,0.126953125,0.139,10.297,164.658,55.027,0.126953125,0.80078125,0.132,3.062,143.118,57.092
1788920400,embedded,43.4376833,-70.34915,0.19,10.24,4.78,159.648,46.224,156.18,56.116,1.2,154,,,,,,,,,,,,
1788921000,hdr,43.4376888,-70.3491705,0.17,10.24,4.355,142.167,52.612,143.114,58.875,1.12,143,0.029296875,0.126953125,0.109,11.123,149.203,60.011,0.126953125,0.80078125,0.13,3.041,138.683,57.965
1788921900,hdr,43.4376915,-70.3491678,0.185,10.24,4.854,154.356,54.496,150.135,55.14,1.04,122,0.029296875,0.126953125,0.13,10.382,154.994,56.13,0.126953125,0.80078125,0.132,3.195,145.216,55.272
1788922200,embedded,43.4376833,-70.3491667,0.18,10.24,4.6,154.03,54.542,149.812,58.965,0.8,148,,,,,,,,,,,,
1788922800,hdr,43.4376897,-70.3491533,0.188,11.378,5.105,146.979,49.909,148.707,50.559,0.99,153,0.029296875,0.126953125,0.136,10.739,149.131,50.356,0.126953125,0.80078125,0.13,3.242,148.324,51.73
1788923700,hdr,43.4376713,-70.3491545,0.178,11.378,5.053,166.008,42.734,152.27,49.616,1.04,147,0.029296875,0.126953125,0.13,10.87,158.973,50.263,0.126953125,0.80078125,0.121,3.12,143.317,51.46
1788924000,embedded,43.4376667,-70.3491667,0.19,10.24,5.28,153.857,43.473,152.25,50.405,0.8,148,,,,,,,,,,,,
