Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1782172800,hdr,43.4375573,-70.3493562,0.367,7.314,4.482,161.979,42.846,153.968,54.348,1.71,129,0.029296875,0.126953125,0.192,11.491,155.046,60.576,0.126953125,0.80078125,0.313,3.644,154.592,51.416
1782173700,hdr,43.4375545,-70.3493397,0.343,8.533,4.313,158.701,41.09,152.506,50.964,1.46,152,0.029296875,0.126953125,0.179,10.675,162.511,56.415,0.126953125,0.80078125,0.292,3.521,149.347,49.74
1782174000,embedded,43.43755,-70.34935,0.35,8.54,4.48,152.196,45.305,152.928,54.752,1.6,142,,,,,,,,,,,,
1782174600,hdr,43.437549,-70.3493325,0.344,10.24,4.59,151.151,32.062,151.8,51.283,1.39,143,0.029296875,0.126953125,0.195,11.06,154.071,52.689,0.126953125,0.80078125,0.284,3.599,150.63,50.602
1782175500,hdr,43.437538,-70.3493138,0.325,7.314,4.371,149.232,41.787,146.814,51.048,1.62,128,0.029296875,0.126953125,0.167,11.211,150.705,57.776,0.126953125,0.80078125,0.279,3.59,145.801,48.515
1782175800,embedded,43.4375333,-70.3493167,0.34,7.32,4.44,151.764,44.042,150.926,53.178,1.6,125,,,,,,,,,,,,
1782176400,hdr,43.43756,-70.349339,0.326,9.309,4.088,157.952,31.383,153.495,50.081,1.79,156,0.029296875,0.126953125,0.176,10.401,157.178,57.131,0.126953125,0.80078125,0.274,3.268,152.333,50.594
1782177300,hdr,43.4375583,-70.3493472,0.336,8.533,4.242,154.788,42.208,151.417,49.718,1.66,158,0.029296875,0.126953125,0.171,10.351,155.387,55.251,0.126953125,0.80078125,0.289,3.517,149.385,49.459
1782177600,embedded,43.4375333,-70.3493333,0.34,9.3,4.24,152.602,35.184,150.823,52.795,1.6,171,,,,,,,,,,,,
1782178200,hdr,43.4375173,-70.34934,0.32,6.023,4.214,143.861,28.269,148.781,46.852,1.77,156,0.029296875,0.126953125,0.152,10.896,151.45,54.038,0.126953125,0.80078125,0.281,3.574,148.435,45.152
