Epoch Time,Processing Source,f,varianceDensity
1780790400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.010617856;0.026208256;0.022868991999999998;0.019710975999999998;0.018950144;0.025155584;0.030741504;0.06724505600000001;0.16910233600000002;0.22196121600000002;0.17965772800000002;0.130239488;0.086740992;0.070148096;0.054941696000000005;0.035852288;0.038331392;0.019910656;0.023906304;0.020197376;0.019868671999999997;0.031440895999999996;0.028803072;0.026763264;0.03456;0.031643647999999996;0.040838144;0.025601023999999997;0.020777984;0.025325568;0.021495808;0.018521087999999998;0.017242111999999997;0.013205504;0.014160896;0.009535488000000002;0.010633216;0.012534784;0.008296448;0.0068997120000000006;0.008940544;0.007563264;0.005993472;0.004415488;0.005827584;0.006544384;0.0048312319999999995;0.005020672;0.003699712;0.004576256;0.004329472;0.003485696;0.002034688;0.002348032;0.002486272;0.0025958400000000003;0.003145728;0.00270336;0.002578432;0.0022097920000000004;0.002123776;0.002030592;0.0012707839999999998;0.001410048;0.0014847999999999999;0.001455104;0.001325056;0.001431552;0.0014827520000000002;0.0019712;0.001552384;0.000905216;0.001073152;0.0013240320000000002;0.001009664;0.000789504;0.0006912;0.0008325120000000001;0.00096768
1780791300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.004905984;0.0070522879999999994;0.008616960000000002;0.008860671999999998;0.015968256;0.022402047999999997;0.031369216;0.10827366399999999;0.139982848;0.145234944;0.17491353599999998;0.091648;0.067770368;0.052535296;0.04639232;0.026504192;0.035810304;0.039197696000000004;0.022388736;0.021950464;0.023041024;0.016815104000000004;0.024056832;0.04734464;0.041995264;0.047154176;0.05133824;0.035639296;0.024201216;0.02247168;0.021605376;0.028816383999999997;0.025102336;0.015770624;0.00863744;0.008456192;0.011544575999999999;0.010052608;0.008872960000000001;0.006526976;0.008141823999999999;0.009716735999999998;0.007197696;0.008326144;0.007250944;0.004384768;0.0026327039999999996;0.004566016000000001;0.0058992639999999995;0.004719616;0.003119104;0.003736576;0.004478976000000001;0.0031232000000000005;0.002325504;0.002705408;0.0020633599999999998;0.002276352;0.0026368000000000003;0.002009088;0.001746944;0.00187904;0.00246272;0.001670144;0.001337344;0.0019886079999999998;0.002026496;0.0016179200000000001;0.0011202559999999998;0.001297408;0.0017018880000000001;0.000970752;0.001091584;0.00128512;0.0010608640000000001;0.000818176;0.000715776;0.000884736;0.000869376
1780792200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0066734080000000005;0.014942208;0.012333055999999998;0.006258688;0.020046848000000003;0.030399488000000002;0.024098816;0.061305856;0.109242368;0.156454912;0.14083276799999997;0.10050969600000001;0.069132288;0.051395584;0.046647296;0.05261619199999999;0.045289472000000004;0.04388249600000001;0.036216832;0.034449407999999994;0.038131712;0.04909568;0.048364544;0.029713408;0.01730048;0.029564928;0.040491008;0.040635392;0.034492416;0.031998976;0.016607232;0.01746432;0.02231296;0.021694464;0.011607039999999999;0.012403712;0.009412608;0.009525248;0.009701376;0.005590016000000001;0.00508416;0.006209536;0.0037427199999999997;0.007205888;0.008157184000000001;0.011011072;0.007020544;0.004995072;0.00408064;0.0032839680000000004;0.00417792;0.005118976;0.00320512;0.002515968;0.0017643519999999998;0.00317952;0.0025333760000000004;0.001864704;0.001560576;0.0010680320000000002;0.001656832;0.002377728;0.001906688;0.0021411840000000004;0.001833984;0.0016404479999999999;0.0013926400000000001;0.0020121600000000003;0.001678336;0.001229824;0.0012994559999999998;0.0012165119999999999;0.0013578239999999999;0.001420288;0.0012554240000000002;0.0006932479999999999;0.000468992;0.0006000640000000001;0.00070656
1780793100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.006270975999999999;0.015405056;0.017361920000000003;0.012249088;0.0198144;0.027665408;0.029963264;0.036656128;0.1131264;0.176310272;0.129655808;0.088326144;0.06447615999999999;0.083181568;0.08914944;0.07155609599999999;0.049234943999999996;0.032101376;0.02933248;0.026432512;0.02425344;0.03337728;0.042862592;0.03623424;0.039299072;0.043767808000000005;0.048148479999999994;0.051700736;0.04097536;0.038929408000000006;0.026843136000000004;0.021833728;0.019765248;0.010293248;0.010958848;0.015394816;0.011405311999999999;0.008693759999999998;0.008426496;0.00613888;0.0037928959999999996;0.009127936;0.007220224;0.007051264;0.004656128;0.003427328;0.005338112;0.00474112;0.003913728;0.003064832;0.003211264;0.0028876799999999997;0.002883584;0.00370688;0.0034744320000000004;0.0031938559999999997;0.002742272;0.001798144;0.00226816;0.002369536;0.002535424;0.0018421759999999998;0.0013793280000000002;0.0011632640000000002;0.001524736;0.001467392;0.001344512;0.0014796800000000001;0.001754112;0.001217536;0.0013117439999999999;0.00157184;0.00119808;0.000503808;0.0006277120000000001;0.000632832;0.0008867839999999999;0.000703488;0.000579584
1780794000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.006508544;0.014614528;0.011414528;0.01116672;0.023195647999999996;0.032154624;0.036734976;0.059642879999999995;0.09544192;0.176280576;0.127107072;0.073868288;0.041683968;0.052781056;0.06374297599999999;0.047882240000000006;0.034422784;0.028880896;0.020690944;0.019838975999999998;0.032723968;0.03283968;0.03580416;0.03460096;0.05794304;0.061972479999999996;0.05265408;0.039834624;0.036993024;0.03334758399999999;0.026625024;0.025781248000000003;0.028817408;0.025282560000000003;0.012657664;0.009448448;0.008708096;0.005793792;0.006191104;0.008808448;0.006995968000000001;0.005888;0.011006976;0.010261504000000001;0.006237184;0.0039034879999999997;0.003985408;0.006606848;0.005031936;0.004235264;0.00473088;0.004031488000000001;0.005355520000000001;0.004228096;0.0028221440000000004;0.003434496;0.0038840320000000004;0.003723264;0.0051650559999999995;0.003269632;0.00176128;0.002193408;0.0019937279999999997;0.002203648;0.001989632;0.001385472;0.0015452159999999999;0.001349632;0.001604608;0.0019712;0.0015226880000000001;0.0015103999999999999;0.001010688;0.000843776;0.001165312;0.0007495679999999999;0.0006850560000000001;0.000953344;0.0008488959999999999
1780794900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.008807424;0.017357824;0.012139519999999999;0.013888512;0.039580672;0.026336256;0.035234816;0.073315328;0.11689983999999999;0.10707353600000001;0.09969868800000001;0.09536819199999999;0.084227072;0.051006464;0.054986752;0.046052352;0.037861375999999995;0.046178303999999996;0.037259264;0.028085248;0.027185151999999997;0.035726336000000004;0.034179072;0.040157184;0.036831232000000005;0.030756864000000002;0.040830976000000005;0.035273728;0.017631232;0.018033664;0.0334592;0.020540416000000002;0.014787584000000001;0.022233087999999998;0.012151808;0.012003327999999999;0.016192512;0.012115968000000001;0.005264384;0.006591488;0.0074926079999999996;0.006401023999999999;0.005563392;0.00499712;0.006344704;0.007038976;0.005640192;0.0058245120000000004;0.005168128000000001;0.006770688;0.00469504;0.004632576;0.0067532799999999995;0.004464640000000001;0.0036884480000000004;0.004859904000000001;0.004140032;0.003654656;0.0032358400000000002;0.0034027519999999998;0.002502656;0.002157568;0.002546688;0.0016711679999999998;0.0017643519999999998;0.002214912;0.001404928;0.001656832;0.0014919679999999998;0.001461248;0.00211456;0.0018257920000000001;0.0013506560000000002;0.001631232;0.001130496;0.000795648;0.000736256;0.000903168;0.000656384
1780795800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.006376448000000001;0.010555392;0.012110848;0.012959744;0.012570623999999999;0.013481984;0.023052288;0.069634048;0.14752768;0.215933952;0.128038912;0.053338112;0.062087168;0.057931776;0.052270080000000003;0.03225907200000001;0.039226368000000005;0.035608576;0.034551808;0.041781248;0.03779072;0.040895488;0.041330688000000004;0.042568704;0.045837312;0.040735744;0.033074176;0.031101952000000002;0.045052928;0.021659648;0.016983039999999998;0.022628351999999997;0.016788479999999998;0.0147712;0.012300288000000001;0.010112;0.0071116799999999996;0.008541183999999999;0.00925184;0.008198144;0.0069888;0.006632448;0.007197696;0.007113728;0.006534144;0.005745664;0.005237759999999999;0.004016128;0.004707328;0.00525312;0.0038266879999999995;0.0028846080000000003;0.0026685439999999997;0.0034365439999999997;0.005538816;0.004184064;0.002692096;0.003818496;0.003971072;0.00275968;0.004025343999999999;0.003823616;0.003454976;0.003203072;0.001964032;0.0015667199999999997;0.00096768;0.00134656;0.0014940160000000001;0.001004544;0.001118208;0.0011468799999999999;0.0011284479999999998;0.0014581759999999998;0.001401856;0.001329152;0.0010465279999999997;0.0009021439999999999;0.000526336
1780796700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.005726208;0.00776192;0.008347648;0.007164928;0.015065087999999999;0.015393792;0.02023936;0.076363776;0.11425587200000001;0.11888127999999999;0.161074176;0.091385856;0.03915776;0.045125632000000006;0.040389631999999995;0.030099455999999997;0.026127360000000002;0.034224128;0.045109248;0.050589696;0.037331968;0.029212672000000002;0.018566144;0.027056128000000002;0.037723136;0.049864704;0.061904896;0.04273664;0.026284032;0.028060672;0.023209984;0.016891904;0.014843904;0.015178751999999998;0.010328064;0.006583296;0.008728576000000002;0.009686016;0.009167871999999999;0.006868992;0.005962752;0.006331392;0.008147968;0.008767487999999999;0.004554752;0.0036157439999999997;0.0045199360000000004;0.003550208;0.004835328;0.006679552000000001;0.00418304;0.00370176;0.004038656;0.004452352;0.003039232;0.00392704;0.003119104;0.002651136;0.002096128;0.0015677439999999998;0.001726464;0.001352704;0.0016097280000000002;0.0022538239999999998;0.002619392;0.0015114240000000001;0.0013824;0.0015892480000000001;0.001867776;0.001798144;0.001063936;0.0008519679999999999;0.001498112;0.0011233280000000003;0.000800768;0.00109056;0.001130496;0.00075264;0.000617472
1780797600,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.00347648;0.0076820479999999995;0.007020544;0.008736768;0.013184;0.017905664;0.021813248000000004;0.07671910400000001;0.10758144;0.152182784;0.10929868799999999;0.062332928;0.05736038400000001;0.03743744;0.030957567999999998;0.044710912000000005;0.057967616;0.0456704;0.045241343999999996;0.036003839999999995;0.039072768;0.0311552;0.038806528;0.055640064;0.06974873599999999;0.06764236800000001;0.06160076800000001;0.03371520000000001;0.016757760000000003;0.017744896;0.018382847999999997;0.008672256000000001;0.013875199999999999;0.019162112000000002;0.015020032000000001;0.01353216;0.010356735999999998;0.008343552000000002;0.008369152;0.008132608;0.010253312;0.00914432;0.004581375999999999;0.005959679999999999;0.0054016;0.0036505599999999997;0.003936256;0.0055111679999999994;0.00486912;0.004736;0.0034979840000000004;0.003168256;0.0025856;0.003463168;0.002456576;0.00419328;0.00317952;0.00377856;0.002939904;0.0030126080000000004;0.0024954879999999997;0.002034688;0.002382848;0.002353152;0.001927168;0.001534976;0.001980416;0.001309696;0.001082368;0.00163328;0.0015738879999999998;0.0015984640000000002;0.001657856;0.0008212479999999999;0.0005632;0.000529408;0.0007413760000000001;0.0010649599999999998;0.0010496000000000001
1780798500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.007282688;0.008927232;0.009237503999999999;0.013334528;0.017537024;0.016269312;0.042462208;0.12776448;0.1587968;0.145184768;0.126162944;0.09152102399999999;0.051756032;0.051022848;0.046699519999999994;0.028284928;0.032356352000000005;0.030390272;0.035482624000000004;0.06578176000000001;0.03225907200000001;0.0393984;0.045580288000000004;0.037031936;0.032072704;0.059563008;0.05912064;0.047594496;0.032910336000000005;0.024378367999999997;0.019641344;0.021426176;0.013551616;0.012412928000000002;0.012093439999999999;0.014885887999999998;0.013481984;0.008141823999999999;0.009705472;0.009878528;0.006802432;0.004586496;0.005147648;0.003934208;0.004909055999999999;0.0073011199999999995;0.005392384;0.003530752;0.003572736;0.004339712;0.005003264;0.00435712;0.004271104;0.002532352;0.002225152;0.00265728;0.0024504320000000002;0.001309696;0.001655808;0.001799168;0.0020224;0.001948672;0.001149952;0.001168384;0.001652736;0.002173952;0.001929216;0.0016670720000000001;0.0018237440000000002;0.001631232;0.0015677439999999998;0.001352704;0.001188864;0.00135168;0.0014028799999999998;0.001006592;0.000726016;0.0008325120000000001;0.00090624
