Epoch Time,Processing Source,f,varianceDensity
1770595200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.008429568;0.011972608;0.020942848000000003;0.038047744;0.18488319999999997;0.8397168639999999;1.564981248;1.1392020480000002;0.380082176;0.13225779199999999;0.093677568;0.06478233600000001;0.065878016;0.057901056;0.044955647999999994;0.050159616000000004;0.059643904000000005;0.033343488;0.021338111999999996;0.019924992;0.012498944;0.008634368;0.011722752000000001;0.015579136;0.01890304;0.012480512;0.006653952;0.0051712;0.005025792;0.004407296;0.005668864000000001;0.00418816;0.006098944;0.010614784;0.009125887999999999;0.00539648;0.006035456;0.0054435840000000004;0.006445056;0.00668672;0.0058245120000000004;0.005169152;0.003477504;0.003770368;0.00320512;0.0030535679999999996;0.00319488;0.0024719359999999997;0.0032849919999999996;0.002134016;0.0017018880000000001;0.003340288;0.002072576;0.002134016;0.00236544;0.001900544;0.001282048;0.0014704639999999999;0.001849344;0.002054144;0.001503232;0.00103424;0.001134592;0.001404928;0.001837056;0.0023920639999999997;0.00336896;0.003393536;0.0016670720000000001;0.001816576;0.0022835200000000003;0.00244736;0.002596864;0.003786752;0.0040796159999999995;0.004734975999999999;0.005179392;0.00516096;0.003858432
1770596100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.022767616;0.047988736000000004;0.034441216000000004;0.056485888000000005;0.229906432;0.970563584;1.0921922560000001;0.523081728;0.342728704;0.190517248;0.124209152;0.068777984;0.042176512;0.074532864;0.08594636800000001;0.109574144;0.062799872;0.035803136;0.033933312;0.022218751999999998;0.013684736;0.017403904;0.023943168;0.023371776;0.019142655999999997;0.017457152000000004;0.014002176000000002;0.008404992;0.004708352;0.0056975360000000004;0.00937984;0.0067604480000000005;0.005670912;0.006084608;0.005689344;0.004552704;0.004069376;0.003729408;0.004435968;0.00564224;0.005234688;0.004739072;0.003248128;0.0023429120000000004;0.003735552;0.002729984;0.0026849280000000005;0.003049472;0.00238592;0.003104768;0.0022896640000000003;0.002174976;0.002637824;0.001830912;0.001800192;0.0019435519999999999;0.001775616;0.0021299199999999996;0.002174976;0.0016424959999999998;0.001654784;0.0024084479999999997;0.002015232;0.0024064;0.0024064;0.002336768;0.0028692479999999996;0.0034652159999999997;0.0029839359999999995;0.0027586560000000004;0.003004416;0.00493568;0.005496832;0.004296704;0.005840896;0.007348224;0.006131712;0.0061952;0.005640192
1770597000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.007261184;0.0180736;0.025566208;0.024233984;0.144249856;0.352671744;0.453004288;0.469455872;0.34976870400000004;0.144049152;0.087778304;0.063787008;0.055726080000000004;0.047997951999999997;0.072859648;0.08438272;0.054770688000000005;0.035324928;0.019303424;0.014809088;0.019425280000000003;0.016004096000000002;0.017825792;0.014106624;0.01150464;0.010760191999999998;0.006605824000000001;0.008112128000000001;0.008078336;0.006566912;0.004884479999999999;0.004035584;0.007206912;0.007270400000000001;0.005581824000000001;0.0027473920000000004;0.004750336;0.006728703999999999;0.004500479999999999;0.0031313919999999998;0.003182592;0.00254464;0.002886656;0.002973696;0.002777088;0.0023275519999999997;0.00303104;0.003163136;0.00236032;0.002640896;0.0022814719999999997;0.0015872;0.0018216959999999998;0.0021821440000000004;0.001655808;0.001302528;0.0014929920000000003;0.002046976;0.00242176;0.0015687680000000001;0.001038336;0.00100352;0.0016128;0.0021032959999999997;0.001770496;0.0021903359999999998;0.003136512;0.003362816;0.0030464;0.00362496;0.0031703039999999997;0.003663872;0.0052746239999999995;0.004346879999999999;0.0034580479999999996;0.005502976000000001;0.0035686399999999997;0.004412416;0.005200896000000001
1770597900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.002203648;0.020616192000000002;0.043643904000000004;0.06110412800000001;0.22583091200000002;0.7419351040000001;0.868724736;0.633376768;0.3305984;0.188238848;0.11588096;0.085496832;0.053767168;0.06552371200000001;0.069838848;0.064543744;0.062230528;0.0384768;0.017852416;0.01296896;0.016756736;0.020895743999999997;0.013218816000000001;0.018669568000000004;0.01243648;0.009491456;0.014960639999999999;0.012633088000000002;0.005914623999999999;0.005229568;0.004209664;0.005124096;0.005402624000000001;0.003513344;0.0021780479999999997;0.002762752;0.005364736;0.004163584;0.002506752;0.002425856;0.002369536;0.0026449919999999997;0.0025180159999999997;0.00160256;0.001696768;0.003127296;0.002321408;0.003359744;0.0030986240000000003;0.002712576;0.0029982719999999997;0.002142208;0.0013660159999999998;0.0011366400000000002;0.0019824639999999998;0.0023336960000000006;0.0012953600000000002;0.001206272;0.001212416;0.001452032;0.001637376;0.001519616;0.0011735040000000001;0.00125952;0.000854016;0.0012728319999999998;0.00113152;0.0009349119999999999;0.000899072;0.001317888;0.0013680639999999998;0.0010178560000000001;0.001652736;0.0025088;0.0027514880000000003;0.002714624;0.0039874559999999995;0.0040366080000000006;0.003470336
1770598800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0018923520000000001;0.016321535999999998;0.021920768;0.041803776;0.26565120000000003;0.9367060479999999;1.003011072;0.58324992;0.270461952;0.12121702399999999;0.041629696;0.048689152;0.07984640000000001;0.084001792;0.072658944;0.048629759999999994;0.060355584000000004;0.042703872;0.03473408;0.026795008;0.015587328;0.015137791999999999;0.013723648000000001;0.009775104000000001;0.009125887999999999;0.005701632;0.006992895999999999;0.009085952000000001;0.006728703999999999;0.005279743999999999;0.0077813760000000004;0.0070021120000000004;0.006467584000000001;0.008735744;0.006895616;0.005918720000000001;0.004627455999999999;0.005420032;0.005755904;0.003364864;0.003516416;0.0016424959999999998;0.001979392;0.0030289920000000003;0.0028344320000000004;0.002794496;0.001814528;0.001502208;0.0016691199999999998;0.001956864;0.001932288;0.001143808;0.001145856;0.000825344;0.0014858240000000002;0.002213888;0.001221632;0.000990208;0.0009625599999999999;0.0012544;0.001738752;0.0020101119999999997;0.00154624;0.001787904;0.0013352960000000001;0.001452032;0.001234944;0.0014213119999999999;0.00183296;0.0012554240000000002;0.001256448;0.001666048;0.002147328;0.001777664;0.001388544;0.001770496;0.0021872639999999995;0.0031016959999999997;0.0024719359999999997
1770599700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.01124352;0.024349696;0.026348544;0.040137728000000004;0.130784256;0.5430814719999999;0.733942784;0.6190366719999999;0.37669376;0.164637696;0.08374374400000001;0.045119488;0.03789209600000001;0.07798784000000002;0.11665817599999999;0.098781184;0.065644544;0.02148864;0.023760896;0.015149056000000001;0.015411199999999998;0.02351616;0.024269824;0.01942016;0.00961536;0.009974784;0.009494528;0.00690688;0.004868096000000001;0.006076416;0.008036352;0.006719488;0.0069601279999999995;0.00564736;0.005045248;0.00466432;0.002833408;0.003263488;0.002573312;0.002269184;0.00306176;0.004475903999999999;0.003150848;0.001714176;0.0017090559999999998;0.0018483199999999999;0.0024616959999999998;0.0023674879999999996;0.001961984;0.001281024;0.001396736;0.0014151679999999999;0.0012707839999999998;0.0017602560000000002;0.0012554240000000002;0.001152;0.000917504;0.001705984;0.002226176;0.0021780479999999997;0.001376256;0.0012523519999999998;0.0011704320000000001;0.001774592;0.001503232;0.00082944;0.00088064;0.0010475520000000002;0.0011509760000000002;0.0013506560000000002;0.0009359360000000001;0.001232896;0.001391616;0.001242112;0.0017725439999999998;0.002215936;0.0015063040000000002;0.001711104;0.0021913600000000003
1770600600,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.132502528;0.293059584;0.21697945600000001;0.18271539200000003;0.547554304;0.93810176;0.980076544;0.6785607680000001;0.377577472;0.224103424;0.11558604800000001;0.159742976;0.093785088;0.070930432;0.089709568;0.08297369600000001;0.06484889599999999;0.048499712;0.032873472;0.025587712;0.016851968000000002;0.024092672;0.021126144;0.01555456;0.018606079999999997;0.01916928;0.019986432000000002;0.014752768;0.012435456000000001;0.012883967999999999;0.012776448000000001;0.009354240000000002;0.009971711999999999;0.009554944000000001;0.004291584000000001;0.00410112;0.006017024;0.005838848;0.004989951999999999;0.002706432;0.004359168000000001;0.006502399999999999;0.004841472;0.004627455999999999;0.0050688;0.004545536;0.0026521599999999998;0.0021002239999999995;0.0028303359999999997;0.0028723200000000003;0.003039232;0.002691072;0.002673664;0.0021893120000000005;0.001961984;0.00137216;0.0022906879999999995;0.0021360640000000005;0.001854464;0.001385472;0.002052096;0.002328576;0.0013117439999999999;0.001242112;0.00098816;0.001794048;0.0024156159999999998;0.00214016;0.002076672;0.00263168;0.002413568;0.0020838399999999996;0.003641344;0.0042936319999999995;0.003500032;0.00398336;0.003323904;0.003678208;0.004215808
1770601500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.216406016;0.36709580799999997;0.19873792;0.12535603199999998;0.483024896;1.081411584;1.880358912;1.110448128;0.299431936;0.13853491199999998;0.092954624;0.07689830399999999;0.08336588799999999;0.101072896;0.10029670400000001;0.16825344;0.128405504;0.075440128;0.040167424;0.024553471999999996;0.017922048;0.032141312;0.037357568;0.034035712;0.033714176;0.023250944;0.015783936000000002;0.010676224;0.013236224;0.013109248;0.009555968000000001;0.006014976;0.009852928;0.0084992;0.004845568000000001;0.005095424;0.004190208000000001;0.0044748800000000005;0.004429824;0.004282368000000001;0.004816895999999999;0.005388288000000001;0.003981312;0.003125248;0.003872768;0.00407552;0.003035136;0.002424832;0.0019189760000000002;0.002267136;0.001941504;0.0019169279999999998;0.002428928;0.001961984;0.001032192;0.000759808;0.001159168;0.0016609279999999999;0.001536;0.0013148160000000001;0.00146432;0.001431552;0.00104448;0.001101824;0.0019251199999999998;0.001980416;0.001380352;0.00126976;0.001714176;0.001968128;0.001716224;0.001763328;0.0011673599999999999;0.00164864;0.001998848;0.002441216;0.001536;0.002177024;0.002568192
1770602400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.035444736;0.04345856;0.037767168;0.069172224;0.40169267200000003;0.5507276799999999;0.7178854400000001;0.659525632;0.369636352;0.122156032;0.073294848;0.061884416000000005;0.05129318399999999;0.044638208;0.08338943999999998;0.096500736;0.05881344;0.049983488000000006;0.027691008000000003;0.019801088;0.013494272000000002;0.013920255999999999;0.020135936;0.022907904;0.010996736;0.009167871999999999;0.007350272;0.00707584;0.008765440000000001;0.007130111999999999;0.007396352;0.009920512000000001;0.007096320000000001;0.0037396479999999995;0.003293184;0.0031774719999999998;0.0022323200000000003;0.002417664;0.003324928;0.002332672;0.0020121600000000003;0.0026644480000000003;0.002469888;0.002849792;0.00320512;0.002220032;0.0026060799999999998;0.00289792;0.002550784;0.001560576;0.001572864;0.002096128;0.002157568;0.00268288;0.0021288960000000003;0.0020254720000000004;0.001404928;0.0012605440000000002;0.00116224;0.000877568;0.001096704;0.002123776;0.0016066560000000001;0.0008704;0.0009523200000000001;0.001033216;0.001006592;0.001145856;0.001102848;0.00091136;0.000791552;0.000953344;0.0006973439999999999;0.000647168;0.0013424640000000002;0.0015892480000000001;0.001243136;0.001102848;0.0014458880000000002
1770603300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.11567718399999999;0.127574016;0.141164544;0.153522176;0.278669312;0.823768064;0.897595392;0.486201344;0.294622208;0.141795328;0.107461632;0.08744550400000001;0.074175488;0.07274700799999999;0.06093824;0.054127616;0.07051776;0.043680768;0.01943552;0.025604095999999996;0.031084544000000002;0.02500096;0.025080832;0.020937728;0.018980864;0.014507008000000002;0.011976704;0.008506368;0.00854016;0.0075223040000000005;0.007862272;0.011802624;0.009759743999999999;0.009042943999999999;0.006016;0.005250047999999999;0.005380095999999999;0.003679232;0.002117632;0.002413568;0.0031969280000000004;0.002714624;0.003509248;0.00406528;0.002962432;0.0034181119999999996;0.002143232;0.0022599680000000002;0.002245632;0.001657856;0.001429504;0.00199168;0.002464768;0.001519616;0.0018421759999999998;0.001769472;0.001855488;0.001108992;0.0009625599999999999;0.0008202239999999999;0.0008663039999999999;0.0012687360000000001;0.001298432;0.0014213119999999999;0.0011909120000000001;0.0008837120000000001;0.0009574399999999999;0.0008335360000000001;0.000953344;0.0010475520000000002;0.00096768;0.001077248;0.0010721279999999999;0.001098752;0.001027072;0.000842752;0.00067584;0.000861184;0.001527808
