Epoch Time,Processing Source,f,varianceDensity
1781395200,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.001652736;0.011978752;0.0150784;0.008495104;0.006725632;0.004538368;0.013033471999999999;0.043627519999999996;0.06935961600000001;0.10233856;0.20673740799999998;0.142585856;0.23631564800000002;0.183448576;0.08126873600000001;0.045577216000000004;0.037367807999999995;0.035528704;0.025089023999999998;0.024580096000000003;0.028491776000000003;0.021907456;0.01018368;0.0073185279999999995;0.008147968;0.011651072;0.010443776;0.008605696;0.004326399999999999;0.005916672;0.005320704;0.0028620800000000004;0.0030197759999999996;0.003422208;0.005723136;0.005609472000000001;0.006076416;0.010901504;0.00958464;0.007880704;0.007951360000000001;0.007108608;0.003991552;0.0027893759999999997;0.003838976;0.002817024;0.002195456;0.0018012159999999998;0.002060288;0.0023470080000000003;0.002097152;0.001969152;0.002003968;0.001521664;0.000995328;0.000871424;0.000894976;0.001031168;0.0011366400000000002;0.001557504;0.0008704;0.00072704;0.0008622079999999999;0.00116224;0.0010680320000000002;0.000730112;0.000388096;0.000459776;0.000483328;0.000441344;0.00052736;0.00047820800000000004;0.00031744;0.000395264;0.000566272;0.000499712;0.000493568;0.000504832;0.0003328
1781396100,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.001056768;0.003828736;0.004698112;0.004267008;0.004314112;0.003550208;0.012214271999999998;0.032733184;0.053945344;0.072705024;0.06470348799999999;0.124448768;0.11547443199999999;0.125000704;0.10311475199999999;0.082274304;0.033359872000000006;0.03892736;0.029244416000000002;0.025513984;0.0223232;0.017429504000000002;0.016036864;0.011817983999999998;0.010399744;0.00856064;0.010033152;0.005275648;0.0049653760000000005;0.0046069760000000005;0.003572736;0.002443264;0.0027811840000000003;0.003663872;0.004805632000000001;0.007565312;0.008361984000000001;0.009252864000000001;0.013703168;0.011386879999999999;0.009450496;0.006380544000000001;0.003385344;0.004006912;0.0028620800000000004;0.0034416639999999997;0.0032266240000000004;0.002044928;0.001451008;0.0013240320000000002;0.001646592;0.0013393919999999998;0.001243136;0.0017889280000000002;0.0025036800000000003;0.001682432;0.000882688;0.000933888;0.001125376;0.0009420800000000001;0.0007249919999999999;0.0008488959999999999;0.00121344;0.00119808;0.0013793280000000002;0.001009664;0.0008069119999999999;0.00047308800000000003;0.000567296;0.000620544;0.000620544;0.00042496;0.00039628799999999996;0.00031232;0.000391168;0.000510976;0.000617472;0.00047820800000000004;0.000319488
1781397000,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0011468799999999999;0.0016711679999999998;0.002573312;0.0020654080000000003;0.003756032;0.004993024;0.012659712000000002;0.039066623999999994;0.080493568;0.112382976;0.088114176;0.114970624;0.140665856;0.13988249600000002;0.09669939200000001;0.042578944;0.03936665599999999;0.035880959999999996;0.021370880000000002;0.019488768;0.019018752;0.013152256;0.014116864;0.012281855999999999;0.010574848;0.006913024;0.003606528;0.004083712000000001;0.0044974080000000005;0.0048312319999999995;0.003422208;0.0024791039999999998;0.0030822400000000004;0.00384;0.00281088;0.003596288;0.004790272;0.005743616;0.007122944000000001;0.007298048;0.005009407999999999;0.0062279679999999995;0.00651776;0.005961728;0.0060835839999999995;0.0037632;0.0017408;0.002199552;0.0017090559999999998;0.0014346239999999998;0.001829888;0.001532928;0.001512448;0.00177152;0.0015738879999999998;0.00159232;0.001734656;0.00181248;0.00115712;0.000779264;0.0012032;0.001201152;0.0010946560000000003;0.001087488;0.000903168;0.000772096;0.00048127999999999995;0.00034201599999999995;0.00047411199999999995;0.000499712;0.000647168;0.0005560319999999999;0.0007168;0.000933888;0.000787456;0.000647168;0.000549888;0.000525312;0.000321536
1781397900,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.001028096;0.001898496;0.004430848;0.004556800000000001;0.006029312;0.006350848;0.010812416000000002;0.040539135999999996;0.079625216;0.132441088;0.13665894399999998;0.130125824;0.140583936;0.07559168;0.098440192;0.089396224;0.052027392;0.021788672;0.028382208;0.01852928;0.012178432000000001;0.018335743999999998;0.01731584;0.015510528;0.011328512;0.007622656;0.009480192;0.0062750720000000005;0.0028989440000000005;0.003341312;0.003598336;0.0023470080000000003;0.0024064;0.003070976;0.0033976320000000003;0.002948096;0.005866496;0.007558144;0.00498176;0.005650432;0.0048783360000000005;0.0055552;0.005797888000000001;0.003509248;0.003680256;0.004430848;0.003152896;0.002169856;0.0022937599999999997;0.0019466239999999999;0.0021872639999999995;0.0017336320000000001;0.001681408;0.001746944;0.0017356799999999999;0.00141824;0.0015779840000000002;0.001188864;0.00124928;0.0014745600000000002;0.001186816;0.000816128;0.0009738240000000001;0.000651264;0.000463872;0.0005959680000000001;0.000719872;0.000837632;0.000748544;0.0009297919999999999;0.0009615359999999999;0.0009830400000000001;0.0007925759999999999;0.0009461760000000001;0.001086464;0.0007137280000000001;0.0005580800000000001;0.0006092800000000001;0.000520192
1781398800,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000459776;0.001420288;0.003073024;0.0023203839999999996;0.0036433919999999996;0.005459968;0.012084224;0.0489984;0.113074176;0.17654067199999998;0.16269209599999998;0.12768256;0.15695052799999998;0.15174860799999998;0.07045324800000001;0.052862976;0.060557312;0.041403392;0.026190848;0.01938432;0.019443712000000002;0.017406975999999998;0.011843584;0.011432959999999999;0.00694784;0.006214656;0.006843392;0.006839296;0.005008384;0.0039495680000000005;0.002082816;0.00188928;0.003069952;0.00343552;0.002905088;0.0029952000000000004;0.003889152;0.004896768;0.005175296;0.005470208000000001;0.004544512;0.002671616;0.003868672;0.005251072;0.004285440000000001;0.003910656;0.00307712;0.003111936;0.003239936;0.0022026240000000002;0.00167424;0.0016138239999999998;0.0013199359999999999;0.00172544;0.001702912;0.00172544;0.001381376;0.000813056;0.001073152;0.001286144;0.00165888;0.0011632640000000002;0.0013987840000000001;0.001905664;0.001395712;0.001209344;0.000674816;0.0005376000000000001;0.0007075839999999999;0.001058816;0.0009461760000000001;0.000580608;0.000579584;0.0006840319999999999;0.0005836799999999999;0.00052224;0.000444416;0.000429056;0.00039731200000000003
1781399700,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.002019328;0.0025917439999999996;0.003857408;0.0049633279999999995;0.005126144;0.006055936;0.017905664;0.048880639999999996;0.07126118399999999;0.06697062399999999;0.084950016;0.125130752;0.157830144;0.097499136;0.07572377599999999;0.060310527999999995;0.039013376;0.038067199999999995;0.031689728;0.019060735999999998;0.01207808;0.017646591999999996;0.015621119999999999;0.012635135999999998;0.009539583999999999;0.00979456;0.008795135999999999;0.006639616;0.003756032;0.00491008;0.005916672;0.006245376;0.00547328;0.00565248;0.00404992;0.0038297599999999998;0.0027269119999999997;0.0047790079999999995;0.004140032;0.004511744000000001;0.006437888;0.008144895999999999;0.006878207999999999;0.004488192;0.0035788799999999996;0.003454976;0.003122176;0.0035440640000000004;0.0027392;0.0014274560000000001;0.001847296;0.001900544;0.001728512;0.001668096;0.0019455999999999998;0.001728512;0.001610752;0.00150016;0.001325056;0.0016220159999999998;0.001338368;0.0012369920000000001;0.0013240320000000002;0.00137216;0.001152;0.000825344;0.000818176;0.000596992;0.0005724160000000001;0.000539648;0.000594944;0.0009349119999999999;0.000877568;0.000637952;0.00083968;0.0006973439999999999;0.0005416959999999999;0.0005468159999999999;0.000512
1781400600,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.00107008;0.003694592;0.005740544;0.004198400000000001;0.005472255999999999;0.008830976;0.015917056;0.043094016000000006;0.09050419200000001;0.123088896;0.15062016;0.125914112;0.086651904;0.08399872;0.09302016;0.09116057600000001;0.062898176;0.030153728;0.025933824;0.02852864;0.025949183999999997;0.015466496;0.011902976000000001;0.012818432;0.01364992;0.01252352;0.011992063999999998;0.008589312;0.00472064;0.003216384;0.0047790079999999995;0.004073472;0.003777536;0.002807808;0.003231744;0.003286016;0.0033423359999999996;0.003011584;0.004216832;0.003910656;0.004082688;0.005061632000000001;0.004636672;0.003326976;0.00318464;0.003683328;0.002086912;0.00195072;0.00214016;0.0022937599999999997;0.0018257920000000001;0.0010936319999999998;0.001043456;0.001089536;0.0016148479999999999;0.001108992;0.001404928;0.001344512;0.001127424;0.0013260799999999999;0.001408;0.001232896;0.000877568;0.000770048;0.0014899199999999998;0.000899072;0.000774144;0.001156096;0.000666624;0.000795648;0.000668672;0.0007188480000000001;0.000653312;0.000489472;0.00030003200000000004;0.00039628799999999996;0.0005376000000000001;0.000376832;0.000493568
1781401500,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.0007249919999999999;0.0021248;0.006388736;0.00766464;0.003714048;0.002210816;0.013175807999999999;0.061091839999999994;0.10183372799999998;0.11382988799999999;0.11876147199999999;0.11708416;0.10229350400000001;0.147068928;0.106569728;0.06454169600000001;0.049644544;0.040482816;0.035950591999999996;0.017373183999999996;0.020836352000000002;0.019685376;0.012301312;0.010981375999999998;0.010136576;0.01013248;0.006745088;0.008164352;0.005592063999999999;0.003931136;0.004092928;0.004971519999999999;0.00311808;0.0035829760000000003;0.004125696;0.0025753599999999996;0.002372608;0.0034959360000000003;0.004281344;0.0049080320000000005;0.0037621760000000003;0.003315712;0.002528256;0.0025036800000000003;0.003666944;0.0035368960000000003;0.0028416;0.0021985280000000004;0.0019210240000000001;0.001864704;0.0015964160000000002;0.001875968;0.0016670720000000001;0.00137728;0.001265664;0.0010516479999999999;0.0013117439999999999;0.001096704;0.001348608;0.00145408;0.001675264;0.001956864;0.00172544;0.000899072;0.0006277120000000001;0.0006082559999999999;0.000596992;0.000766976;0.000841728;0.000687104;0.000781312;0.000807936;0.000384;0.00030003200000000004;0.000606208;0.000628736;0.000723968;0.000750592;0.000376832
1781402400,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.000945152;0.003985408;0.005146624;0.005001216;0.004463616;0.0033105920000000002;0.007835648;0.027214848;0.07305728;0.132243456;0.13714944;0.188931072;0.142011392;0.076679168;0.109263872;0.062765056;0.041335807999999995;0.043034624;0.034403328000000004;0.039965696;0.021695488000000002;0.019207167999999997;0.017916928;0.014272512000000001;0.009603071999999999;0.012388351999999998;0.011460608;0.006340607999999999;0.003429376;0.003641344;0.0052172799999999995;0.005549056;0.004267008;0.004624384;0.004635648;0.004409344;0.004335616;0.006169600000000001;0.006858752;0.00579584;0.006127616;0.004969472;0.00267264;0.00326656;0.0048363519999999995;0.0039034879999999997;0.003095552;0.0022241279999999997;0.0018360320000000002;0.00205312;0.0024903679999999997;0.001564672;0.0017663999999999998;0.001656832;0.00180736;0.0011212799999999999;0.0009615359999999999;0.000982016;0.0012994559999999998;0.002139136;0.001931264;0.001084416;0.00052224;0.0011284479999999998;0.001043456;0.0008366080000000001;0.0006789119999999999;0.0009318400000000001;0.0008509440000000001;0.000503808;0.0005898240000000001;0.0007372800000000001;0.00046592000000000004;0.000447488;0.00043008000000000006;0.000418816;0.000534528;0.00036966399999999996;0.000272384
1781403300,hdr,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.3418;0.35156;0.36133;0.37109;0.38086;0.39063;0.40039;0.41016;0.41992;0.42969;0.43945;0.44922;0.45898;0.46875;0.47852;0.48828;0.49805;0.50781;0.51758;0.52734;0.53711;0.54688;0.55664;0.56641;0.57617;0.58594;0.5957;0.60547;0.61523;0.625;0.63477;0.64453;0.6543;0.66406;0.67383;0.68359;0.69336;0.70313;0.71289;0.72266;0.73242;0.74219;0.75195;0.76172;0.77148;0.78125;0.79102,0.003464192;0.014460928;0.020445184;0.010684416;0.009363456000000001;0.00548352;0.0167168;0.05303808;0.085269504;0.1090304;0.108326912;0.089596928;0.07865753599999999;0.099039232;0.087419904;0.05344256;0.049503231999999994;0.035554304;0.036356096;0.026544128;0.021794816;0.02042368;0.017382400000000003;0.012939263999999999;0.011569152;0.009156608;0.0060907520000000005;0.003919872;0.005086208;0.004002816;0.003786752;0.003117056;0.0029798399999999997;0.00380416;0.005055488;0.003923968;0.003332096;0.0031334399999999995;0.0025374720000000003;0.002654208;0.003088384;0.001659904;0.001451008;0.002207744;0.0019087359999999999;0.00242176;0.002163712;0.002578432;0.002188288;0.001338368;0.001010688;0.0010649599999999998;0.0011919360000000002;0.001092608;0.001294336;0.0010465279999999997;0.0011243520000000001;0.0011786239999999999;0.00107008;0.001073152;0.0009461760000000001;0.001158144;0.001364992;0.001405952;0.000864256;0.000520192;0.000263168;0.0006840319999999999;0.0005099519999999999;0.000331776;0.00040755200000000004;0.000577536;0.0005642239999999999;0.0006184960000000001;0.000544768;0.000632832;0.0007086080000000001;0.000459776;0.000305152
