Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg)
1778100600,embedded,43.4375333,-70.3493833,1.39,6.82,4.84,162.344,36.593,165.635,40.942,8,188
1778102400,embedded,43.4375833,-70.3494,1.48,6.82,4.96,162.821,30.266,164.186,39.363,9.2,188
1778104200,embedded,43.43765,-70.34945,1.34,6.4,4.66,160.662,34.033,168.257,41.725,9.6,188
1778106000,embedded,43.43765,-70.3495,1.4,6.4,4.74,163.533,30.832,166.159,39.353,8.4,182
1778107800,embedded,43.4375,-70.3493833,1.49,6.4,4.64,167.905,32.436,166.729,40.9,10.0,171
1778109600,embedded,43.4375667,-70.34935,1.43,6.82,4.62,154.231,34.526,167.152,41.082,10.4,177
1778111400,embedded,43.4376333,-70.3494167,1.37,6.82,4.68,155.53,28.859,162.077,44.936,9.6,194
