Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1770250800,embedded,43.4593833,-70.3822833,0.64,20.48,18.5,180.0,60.59,178.733,62.872,0.0,182.0,,,,,,,,,,,,
1770251400,hdr,43.4596435,-70.3823858,2.326,25.602,16.643,190.598,59.951,184.08,71.431,0.89,168.0,0.029296875,0.126953125,2.282,17.959,185.002,70.713,0.126953125,0.80078125,0.446,5.71,124.611,78.86
1770252293,hdr,43.4638233,-70.3841897,4.446,20.479,19.116,180.546,46.605,181.87,52.276,2.16,179.0,0.029296875,0.126953125,4.421,19.601,182.001,52.878,0.126953125,0.80078125,0.458,5.786,185.198,53.704
1770252600,embedded,43.4598833,-70.3829167,4.72,25.6,18.72,183.553,60.544,178.474,54.323,2.0,182.0,,,,,,,,,,,,
1770254400,embedded,43.4592833,-70.3821833,13.5,25.6,23.0,148.755,69.076,164.461,62.883,8.0,177.0,,,,,,,,,,,,
1770256200,embedded,43.4591833,-70.38225,,,,,,,,1.6,200.0,,,,,,,,,,,,
1770256799,hdr,43.4594443,-70.3823352,,,,,,,,5.17,149.0,0.029296875,0.126953125,9.204,25.079,162.267,38.394,0.126953125,0.80078125,0.612,4.268,156.46,37.291
1770258000,embedded,43.4595833,-70.3824167,,,,,,,,3.2,148.0,,,,,,,,,,,,
1770259499,hdr,43.4596602,-70.382402,1.189,25.602,15.327,145.195,55.712,153.552,58.902,0.86,179.0,0.029296875,0.126953125,1.123,19.669,152.582,60.07,0.126953125,0.80078125,0.392,5.453,183.759,61.555
1770259800,embedded,43.4591167,-70.381,,,,,,,,0.8,28.0,,,,,,,,,,,,
1770261600,embedded,43.4594667,-70.3823833,1.53,25.6,16.66,92.411,73.11,75.2,65.03,0.8,57.0,,,,,,,,,,,,
1770262200,hdr,43.459305,-70.3821485,1.318,25.602,17.3,92.299,73.191,107.341,70.581,0.28,146.0,0.029296875,0.126953125,1.296,18.61,109.025,71.001,0.126953125,0.80078125,0.235,5.489,61.908,73.248
1770263099,hdr,43.4593632,-70.382234,2.999,25.602,21.884,61.443,78.186,38.951,78.952,0.6,139.0,0.029296875,0.126953125,2.982,22.514,50.812,79.167,0.126953125,0.80078125,0.305,5.95,226.016,79.577
1770265800,hdr,43.4591142,-70.3819913,10.214,25.602,21.737,178.966,60.83,178.833,61.306,4.78,177.0,0.029296875,0.126953125,10.184,22.057,178.328,62.352,0.126953125,0.80078125,0.759,6.028,165.919,65.291
1770266689,hdr,43.459496,-70.3820152,5.689,25.602,18.84,115.819,72.95,265.596,79.199,3.59,300.0,0.029296875,0.126953125,5.605,20.052,274.342,79.397,0.126953125,0.80078125,0.965,6.202,300.156,45.377
1770271200,embedded,43.4596333,-70.3821167,,,,,,,,1.2,331.0,,,,,,,,,,,,
1770273000,embedded,,,0.4,20.48,11.24,305.362,53.908,322.114,61.187,,,,,,,,,,,,,,
1770278400,hdr,43.4595002,-70.3823158,3.419,17.068,14.883,200.762,70.413,187.045,73.655,2.97,163.0,0.029296875,0.126953125,3.337,16.08,186.514,73.601,0.126953125,0.80078125,0.74,5.921,184.039,72.176
1770279000,embedded,43.4595,-70.3822833,,,,,,,,1.6,34.0,,,,,,,,,,,,
1770280800,embedded,43.4593333,-70.3823167,1.73,25.6,17.84,77.905,79.886,149.139,77.153,1.2,177.0,,,,,,,,,,,,
1770282600,embedded,43.4593,-70.3826,2.25,25.6,15.9,197.65,73.35,223.946,76.327,1.2,234.0,,,,,,,,,,,,
1770283799,hdr,43.459523,-70.3824087,2.765,25.602,21.018,216.288,71.723,208.934,75.152,0.92,191.0,0.029296875,0.126953125,2.727,22.762,209.126,73.848,0.126953125,0.80078125,0.45,5.502,58.933,75.37
1770284400,embedded,43.4593667,-70.38235,3.1,25.6,21.76,201.743,64.88,200.015,67.66,0.8,188.0,,,,,,,,,,,,
1770284700,hdr,43.4591948,-70.3825895,3.127,25.602,21.685,147.733,61.221,147.746,62.549,2.68,139.0,0.029296875,0.126953125,3.069,24.852,146.777,63.656,0.126953125,0.80078125,0.593,4.911,150.278,55.568
1770289200,hdr,43.459509,-70.3823287,2.924,25.602,18.848,171.814,76.739,114.142,74.032,0.95,81.0,0.029296875,0.126953125,2.89,19.972,115.578,74.261,0.126953125,0.80078125,0.441,5.515,77.643,68.057
1770290100,embedded,43.4592833,-70.3818667,4.1,25.6,21.2,173.871,60.665,167.258,62.823,0.8,165.0,,,,,,,,,,,,
1770291000,hdr,43.4595292,-70.382327,5.271,25.602,20.816,149.505,51.764,149.73,53.815,1.69,157.0,0.029296875,0.126953125,5.221,21.843,149.599,53.841,0.126953125,0.80078125,0.714,5.919,157.394,65.841
1770291900,embedded,43.4593,-70.3821,2.47,25.6,16.84,138.77,51.299,137.361,55.145,1.2,137.0,,,,,,,,,,,,
1770292800,hdr,43.4593577,-70.3822963,5.251,20.479,21.103,164.093,38.869,162.646,41.047,2.27,164.0,0.029296875,0.126953125,5.229,21.549,162.551,41.354,0.126953125,0.80078125,0.469,5.911,163.899,48.803
1770295800,embedded,43.4593667,-70.3821167,1.6,25.6,20.14,157.768,62.197,153.952,72.76,0.8,348.0,,,,,,,,,,,,
1770296399,hdr,43.4592873,-70.3823707,,,,,,,,0.06,342.0,0.029296875,0.126953125,0.682,24.619,147.94,59.977,0.126953125,0.80078125,0.047,4.236,129.646,65.318
1770297600,embedded,43.4595167,-70.3822333,0.55,20.48,20.56,154.933,66.1,141.622,65.745,0.0,148.0,,,,,,,,,,,,
