Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1776038400,hdr,43.4376227,-70.3494727,0.641,3.793,3.789,176.578,27.167,169.914,41.598,6.2,176,0.029296875,0.126953125,0.299,10.578,157.208,47.212,0.126953125,0.80078125,0.567,3.214,172.57,40.359
1776039300,hdr,43.4376302,-70.3494547,0.584,3.938,3.559,179.208,26.858,172.838,44.894,4.69,181,0.029296875,0.126953125,0.24,10.599,146.924,55.015,0.126953125,0.80078125,0.532,3.135,176.376,42.573
1776039600,embedded,43.4376167,-70.3494333,0.62,3.8,3.64,176.927,28.63,169.512,47.584,6.4,177,,,,,,,,,,,,
1776040200,hdr,43.4376197,-70.3494395,0.658,3.657,3.619,177.912,26.091,173.988,40.435,7.06,177,0.029296875,0.126953125,0.254,10.983,163.735,49.366,0.126953125,0.80078125,0.606,3.238,174.874,40.115
1776041100,hdr,43.4376282,-70.3494398,0.786,4.096,3.676,169.427,22.042,169.978,36.959,9.22,177,0.029296875,0.126953125,0.287,10.527,146.878,47.723,0.126953125,0.80078125,0.732,3.341,172.59,35.332
1776041400,embedded,43.4376167,-70.3494333,0.76,3.8,3.64,173.544,25.096,169.219,43.972,9.2,177,,,,,,,,,,,,
1776042000,hdr,43.4376303,-70.3494512,0.847,3.793,3.701,173.559,24.277,171.93,37.861,11.81,173,0.029296875,0.126953125,0.345,10.194,155.288,47.672,0.126953125,0.80078125,0.774,3.285,174.636,36.564
1776042900,hdr,43.437634,-70.3494548,0.862,3.938,3.633,178.06,25.431,175.119,38.785,11.78,178,0.029296875,0.126953125,0.261,10.875,162.599,58.153,0.126953125,0.80078125,0.822,3.404,175.895,37.115
1776043200,embedded,43.4376167,-70.3494333,0.86,3.94,3.7,178.44,25.917,173.062,44.078,12.0,177,,,,,,,,,,,,
1776043800,hdr,43.4376173,-70.3494122,0.918,4.096,3.685,181.121,24.293,176.198,37.541,12.14,186,0.029296875,0.126953125,0.282,10.706,152.144,50.24,0.126953125,0.80078125,0.874,3.449,177.749,37.492
1776044700,hdr,43.4376222,-70.3494165,0.892,4.452,3.732,173.231,30.309,171.237,38.89,8.74,179,0.029296875,0.126953125,0.295,10.498,144.665,55.19,0.126953125,0.80078125,0.842,3.459,173.74,37.71
1776045000,embedded,43.4376,-70.3494,0.93,4.1,3.7,174.079,25.597,171.344,43.788,10.4,171,,,,,,,,,,,,
1776045600,hdr,43.4376132,-70.3494027,0.916,4.267,3.736,172.082,23.197,170.636,38.13,10.56,172,0.029296875,0.126953125,0.27,10.498,150.207,55.625,0.126953125,0.80078125,0.875,3.52,172.034,37.212
1776046500,hdr,43.4376482,-70.3494507,0.915,4.267,3.708,168.69,28.427,173.217,39.501,9.05,168,0.029296875,0.126953125,0.271,10.139,148.217,58.062,0.126953125,0.80078125,0.874,3.495,174.691,38.859
1776046800,embedded,43.4376333,-70.34945,0.91,4.26,3.7,170.92,26.638,171.204,46.01,9.6,177,,,,,,,,,,,,
1776047400,hdr,43.4376492,-70.3494472,0.923,4.096,3.792,184.7,25.625,174.589,38.699,9.61,184,0.029296875,0.126953125,0.305,10.159,154.939,50.052,0.126953125,0.80078125,0.871,3.521,176.733,37.451
1776048300,hdr,43.4376262,-70.3494322,1.009,4.452,3.841,173.285,22.447,172.112,35.54,11.52,173,0.029296875,0.126953125,0.244,10.437,161.359,59.758,0.126953125,0.80078125,0.979,3.696,172.293,34.085
1776048600,embedded,43.4376333,-70.3494167,0.98,4.46,3.84,171.398,27.022,171.796,40.785,9.2,171,,,,,,,,,,,,
1776049200,hdr,43.437627,-70.3493982,0.958,4.655,3.847,180.319,30.767,174.11,37.154,9.94,174,0.029296875,0.126953125,0.255,10.43,154.277,59.727,0.126953125,0.80078125,0.923,3.67,174.913,35.404
1776050100,hdr,43.4376255,-70.3493862,0.866,4.267,3.856,164.436,31.396,168.508,40.834,8.96,165,0.029296875,0.126953125,0.304,10.637,160.111,57.578,0.126953125,0.80078125,0.811,3.54,169.362,39.461
1776050400,embedded,43.4376333,-70.3494,0.92,4.66,3.88,172.293,34.025,170.038,44.33,8.4,171,,,,,,,,,,,,
1776051000,hdr,43.437626,-70.3493743,0.889,4.655,3.856,162.868,27.543,166.853,38.026,8.41,173,0.029296875,0.126953125,0.296,10.965,145.285,55.871,0.126953125,0.80078125,0.838,3.568,168.515,35.965
1776051900,hdr,43.4376467,-70.3494042,0.903,4.655,3.888,172.559,26.896,171.388,37.543,7.72,171,0.029296875,0.126953125,0.316,10.587,151.721,48.938,0.126953125,0.80078125,0.846,3.572,173.601,36.193
1776052200,embedded,43.4376333,-70.3493833,0.88,4.26,3.84,170.864,28.735,168.706,43.73,7.6,171,,,,,,,,,,,,
1776052800,hdr,43.4376362,-70.3493873,0.964,4.452,3.808,169.643,27.58,171.018,36.176,9.64,169,0.029296875,0.126953125,0.283,10.428,150.534,50.399,0.126953125,0.80078125,0.922,3.593,172.446,35.725
1776053700,hdr,43.437628,-70.3494203,0.932,4.452,3.734,164.614,32.074,172.332,38.892,8.86,182,0.029296875,0.126953125,0.289,10.268,156.923,50.097,0.126953125,0.80078125,0.886,3.497,173.396,38.586
1776054000,embedded,43.4376333,-70.3493833,0.94,4.66,3.74,173.022,31.083,171.117,43.233,8.8,177,,,,,,,,,,,,
1776054600,hdr,43.4376182,-70.3493628,0.981,4.655,3.784,164.641,24.858,172.069,35.901,10.88,190,0.029296875,0.126953125,0.286,10.351,157.265,52.201,0.126953125,0.80078125,0.938,3.574,172.824,35.014
1776055500,hdr,43.4376275,-70.349378,0.991,4.655,3.912,173.424,27.32,172.305,36.374,8.83,175,0.029296875,0.126953125,0.3,10.546,155.882,51.186,0.126953125,0.80078125,0.944,3.678,173.388,35.592
1776055800,embedded,43.4376333,-70.3494,1.0,4.46,3.88,171.513,27.174,170.859,40.954,8.4,171,,,,,,,,,,,,
1776056400,hdr,43.4376095,-70.3493598,0.981,4.655,3.963,165.937,21.349,170.232,34.874,7.32,168,0.029296875,0.126953125,0.315,10.323,153.684,48.307,0.126953125,0.80078125,0.929,3.702,171.67,34.091
1776057300,hdr,43.4376158,-70.3493418,0.943,4.655,3.799,170.643,30.813,172.237,37.846,8.79,181,0.029296875,0.126953125,0.256,10.513,150.573,58.17,0.126953125,0.80078125,0.908,3.615,172.959,36.508
1776057600,embedded,43.4376167,-70.3493667,0.96,4.66,3.86,166.055,26.079,168.509,42.4,7.6,182,,,,,,,,,,,,
1776058200,hdr,43.4376222,-70.3493423,0.941,4.655,3.858,167.849,25.224,172.701,35.001,8.75,190,0.029296875,0.126953125,0.278,10.362,151.925,47.129,0.126953125,0.80078125,0.899,3.639,174.303,34.165
1776059100,hdr,43.4376263,-70.3493495,0.961,4.655,3.838,175.201,22.943,175.616,35.253,8.8,182,0.029296875,0.126953125,0.271,10.167,153.95,48.809,0.126953125,0.80078125,0.922,3.643,177.039,34.274
1776059400,embedded,43.4376167,-70.34935,0.94,4.66,3.8,171.403,23.559,173.246,40.668,8.4,194,,,,,,,,,,,,
1776060000,hdr,43.437627,-70.3493543,0.916,4.655,3.746,171.11,21.604,174.207,36.403,7.71,192,0.029296875,0.126953125,0.252,9.866,152.184,53.75,0.126953125,0.80078125,0.881,3.565,175.213,34.912
1776060900,hdr,43.4376442,-70.3494005,0.998,4.876,3.891,166.318,25.942,173.632,34.25,9.36,184,0.029296875,0.126953125,0.261,10.492,149.442,49.726,0.126953125,0.80078125,0.963,3.719,174.614,32.989
1776061200,embedded,43.4376167,-70.3493667,0.95,4.88,3.84,169.529,25.157,173.137,38.948,9.2,188,,,,,,,,,,,,
1776061800,hdr,43.4376503,-70.3493922,0.863,4.876,3.782,168.659,26.077,170.605,37.467,9.11,176,0.029296875,0.126953125,0.25,10.536,138.278,55.734,0.126953125,0.80078125,0.826,3.572,172.371,35.35
1776062700,hdr,43.4376525,-70.3494098,0.987,4.655,4.529,158.108,25.693,166.751,48.524,9.04,180,0.029296875,0.126953125,0.509,14.584,147.749,64.104,0.126953125,0.80078125,0.845,3.622,169.581,39.107
1776063000,embedded,43.4376333,-70.3494,0.94,4.88,4.24,168.383,26.483,167.905,45.419,8.4,182,,,,,,,,,,,,
1776063600,hdr,43.4376368,-70.3494077,0.935,4.876,3.849,164.938,20.041,169.124,34.339,9.64,179,0.029296875,0.126953125,0.242,10.371,152.761,51.798,0.126953125,0.80078125,0.903,3.682,169.505,33.111
1776064500,hdr,43.4376417,-70.3494523,0.893,4.876,3.889,168.035,24.246,170.482,35.738,7.72,193,0.029296875,0.126953125,0.236,10.9,153.086,54.776,0.126953125,0.80078125,0.861,3.709,171.104,34.372
1776064800,embedded,43.4376333,-70.3494,0.92,4.88,3.88,166.155,22.454,167.544,40.692,8.0,177,,,,,,,,,,,,
1776065400,hdr,43.4376453,-70.3494305,0.878,5.12,3.735,168.603,26.662,170.567,36.174,8.18,175,0.029296875,0.126953125,0.252,10.402,152.785,55.672,0.126953125,0.80078125,0.841,3.532,171.335,35.003
1776066300,hdr,43.4376378,-70.349421,0.925,4.876,3.942,166.097,24.306,169.109,35.634,9.62,174,0.029296875,0.126953125,0.283,10.305,152.102,51.999,0.126953125,0.80078125,0.881,3.705,169.933,34.278
1776066600,embedded,43.4376333,-70.3494,0.91,4.88,3.88,169.497,24.084,168.895,40.424,8.0,177,,,,,,,,,,,,
1776067200,hdr,43.4376492,-70.3494208,0.862,5.12,3.861,164.948,23.766,171.205,37.219,7.84,181,0.029296875,0.126953125,0.267,10.15,153.13,51.906,0.126953125,0.80078125,0.819,3.623,172.278,35.916
1776068100,hdr,43.437652,-70.349451,0.911,5.12,3.848,167.391,28.07,169.893,36.863,8.92,172,0.029296875,0.126953125,0.272,9.851,151.644,46.174,0.126953125,0.80078125,0.87,3.632,170.879,36.36
1776068400,embedded,43.4376333,-70.3494167,0.86,5.12,3.8,165.572,29.547,168.957,41.317,9.2,171,,,,,,,,,,,,
1776069000,hdr,43.4376487,-70.3494463,0.858,5.389,3.799,165.57,32.838,170.394,38.076,9.21,181,0.029296875,0.126953125,0.25,9.682,155.508,53.17,0.126953125,0.80078125,0.82,3.595,170.819,37.447
1776069900,hdr,43.437662,-70.349459,0.884,5.12,3.778,172.767,30.498,171.694,38.756,8.55,192,0.029296875,0.126953125,0.245,9.927,152.688,55.736,0.126953125,0.80078125,0.849,3.593,172.583,38.072
1776070200,embedded,43.4376333,-70.3494333,0.89,5.12,3.82,173.446,32.481,170.907,42.595,8.4,194,,,,,,,,,,,,
1776070800,hdr,43.4376487,-70.349459,0.883,4.876,3.706,161.451,31.706,173.164,38.721,8.97,176,0.029296875,0.126953125,0.253,9.872,161.742,50.327,0.126953125,0.80078125,0.846,3.511,173.318,38.194
