Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1771027200,hdr,43.4375083,-70.3494227,0.281,10.24,6.002,159.567,42.366,160.978,47.442,1.08,190,0.029296875,0.126953125,0.214,11.055,157.976,45.592,0.126953125,0.80078125,0.181,3.654,159.793,51.062
1771028100,hdr,43.4375122,-70.3494372,0.264,11.378,5.822,165.156,39.735,162.27,49.418,1.06,187,0.029296875,0.126953125,0.197,11.447,162.321,46.224,0.126953125,0.80078125,0.176,3.6,159.004,52.381
1771028400,embedded,43.4375,-70.3494167,0.28,9.3,5.94,160.332,37.134,158.15,48.737,1.2,194,,,,,,,,,,,,
1771029000,hdr,43.437473,-70.3494195,0.27,9.309,6.386,153.742,26.571,157.515,44.709,0.89,192,0.029296875,0.126953125,0.216,10.461,154.937,41.069,0.126953125,0.80078125,0.162,3.787,163.351,54.165
1771029900,hdr,43.4374628,-70.3494248,0.27,10.24,6.539,155.74,28.842,157.195,46.796,0.78,185,0.029296875,0.126953125,0.208,10.814,154.172,43.408,0.126953125,0.80078125,0.172,4.147,160.173,51.849
1771030200,embedded,43.43745,-70.3494333,0.27,9.3,6.52,152.455,32.065,157.367,47.04,0.8,194,,,,,,,,,,,,
1771030800,hdr,43.4374532,-70.3494597,0.254,12.799,6.224,164.709,41.161,162.983,48.878,0.83,203,0.029296875,0.126953125,0.184,11.089,162.827,47.015,0.126953125,0.80078125,0.176,4.21,159.257,50.998
1771031700,hdr,43.437436,-70.3495017,0.272,10.24,6.884,153.904,33.017,158.996,46.601,0.65,196,0.029296875,0.126953125,0.224,10.871,157.906,44.303,0.126953125,0.80078125,0.154,3.883,160.724,54.27
1771032000,embedded,43.4374333,-70.3495167,0.26,10.24,6.56,152.981,38.649,158.265,49.753,0.8,194,,,,,,,,,,,,
1771032600,hdr,43.4374563,-70.3495563,0.277,10.24,7.205,151.219,30.623,153.641,47.181,0.78,192,0.029296875,0.126953125,0.229,11.056,149.128,43.466,0.126953125,0.80078125,0.156,4.122,164.556,56.308
1771033500,hdr,43.4374457,-70.3495495,0.248,9.309,6.721,167.474,42.048,163.095,53.314,0.62,195,0.029296875,0.126953125,0.201,11.282,159.936,50.066,0.126953125,0.80078125,0.145,3.794,167.893,59.72
1771033800,embedded,43.4374167,-70.3495167,0.26,10.24,7.02,158.555,37.245,157.751,50.982,0.8,200,,,,,,,,,,,,
1771034400,hdr,43.4374273,-70.3494952,0.255,10.24,6.897,170.471,51.896,165.688,57.438,0.56,204,0.029296875,0.126953125,0.204,11.643,166.493,57.678,0.126953125,0.80078125,0.153,3.996,159.799,56.959
1771035300,hdr,43.4374418,-70.349441,0.253,10.24,6.48,161.877,33.164,158.702,52.766,0.55,197,0.029296875,0.126953125,0.201,11.351,156.623,49.44,0.126953125,0.80078125,0.154,3.745,156.618,58.958
1771035600,embedded,43.4374167,-70.34945,0.26,10.24,6.62,163.775,38.889,159.656,53.948,0.4,200,,,,,,,,,,,,
1771036200,hdr,43.4374565,-70.3494805,0.268,12.799,6.382,154.02,36.507,160.655,50.792,0.71,188,0.029296875,0.126953125,0.217,11.477,155.848,47.691,0.126953125,0.80078125,0.157,3.467,168.943,56.818
1771037100,hdr,43.437493,-70.3495467,0.244,11.378,5.683,142.255,37.448,163.741,48.882,0.91,196,0.029296875,0.126953125,0.184,10.85,157.356,44.691,0.126953125,0.80078125,0.159,3.466,169.209,53.807
1771037400,embedded,43.4375,-70.3495333,0.25,10.24,5.82,151.704,41.455,156.966,49.648,0.8,194,,,,,,,,,,,,
1771038000,hdr,43.4375118,-70.3495182,0.238,10.24,5.448,141.81,36.852,162.817,49.535,1.14,197,0.029296875,0.126953125,0.175,10.712,154.469,48.365,0.126953125,0.80078125,0.162,3.469,171.034,51.377
1771038900,hdr,43.4374987,-70.3494565,0.216,9.309,5.254,155.696,43.226,159.36,49.131,0.93,195,0.029296875,0.126953125,0.152,10.709,149.489,45.932,0.126953125,0.80078125,0.153,3.491,165.502,52.508
1771039200,embedded,43.4375,-70.3494333,0.22,9.3,5.36,154.075,44.061,158.496,51.587,0.8,200,,,,,,,,,,,,
1771039800,hdr,43.4374978,-70.3494642,0.231,12.799,5.847,151.355,35.418,160.508,49.364,1.53,198,0.029296875,0.126953125,0.182,11.717,152.611,46.479,0.126953125,0.80078125,0.142,3.207,169.614,53.311
1771040700,hdr,43.437505,-70.349527,0.233,11.378,5.928,152.317,38.088,157.453,43.794,1.31,195,0.029296875,0.126953125,0.183,11.435,151.294,39.506,0.126953125,0.80078125,0.144,3.332,166.038,50.001
1771041000,embedded,43.4375,-70.3495,0.22,12.8,5.82,148.032,37.599,153.819,47.842,1.2,194,,,,,,,,,,,,
1771041600,hdr,43.4375018,-70.3495073,0.25,11.378,6.294,149.277,36.754,157.804,43.184,1.15,194,0.029296875,0.126953125,0.204,11.295,152.724,38.349,0.126953125,0.80078125,0.144,3.348,168.773,51.459
1771042500,hdr,43.4375145,-70.349444,0.22,11.378,5.812,154.273,33.815,160.596,44.23,1.27,202,0.029296875,0.126953125,0.171,11.117,155.855,38.341,0.126953125,0.80078125,0.139,3.384,166.144,51.711
1771042800,embedded,43.4375,-70.3494333,0.24,11.38,6.06,153.716,36.117,156.607,42.959,1.2,194,,,,,,,,,,,,
1771043400,hdr,43.4375083,-70.3494292,0.227,10.24,6.28,155.654,37.872,160.148,44.314,0.87,199,0.029296875,0.126953125,0.184,10.867,157.708,42.091,0.126953125,0.80078125,0.133,3.489,162.053,50.91
1771044300,hdr,43.437508,-70.3494053,0.22,10.24,5.777,158.853,36.603,159.889,46.172,0.98,202,0.029296875,0.126953125,0.168,11.205,155.177,43.111,0.126953125,0.80078125,0.142,3.44,162.23,50.616
1771044600,embedded,43.4374833,-70.3494,0.23,11.38,6.16,151.821,38.327,156.361,45.474,0.8,200,,,,,,,,,,,,
1771045200,hdr,43.4374888,-70.3494008,0.237,10.24,6.297,149.004,38.955,153.979,47.757,1.07,200,0.029296875,0.126953125,0.193,10.958,146.882,47.238,0.126953125,0.80078125,0.137,3.405,166.01,49.67
1771046100,hdr,43.4374977,-70.3494175,0.236,10.24,6.478,156.031,33.387,160.121,43.835,0.7,196,0.029296875,0.126953125,0.197,10.78,156.525,41.492,0.126953125,0.80078125,0.13,3.365,167.396,52.8
