Epoch Time,Processing Source,Latitude (deg),Longitude (deg),Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Wind Speed (m/s),Wind Direction (deg),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg)
1780531200,hdr,43.4375102,-70.3493383,0.557,9.309,4.634,150.48,23.064,161.688,43.735,3.74,183,0.029296875,0.126953125,0.36,10.578,153.451,40.474,0.126953125,0.80078125,0.425,3.303,165.932,45.18
1780532100,hdr,43.4375052,-70.3493387,0.53,8.533,4.227,148.011,28.898,162.376,46.514,3.42,197,0.029296875,0.126953125,0.317,10.757,149.226,47.075,0.126953125,0.80078125,0.424,3.153,167.69,46.283
1780532400,embedded,43.4375,-70.3493333,0.54,8.54,4.36,148.76,29.338,158.826,48.156,3.2,188,,,,,,,,,,,,
1780533000,hdr,43.4375087,-70.349344,0.544,9.309,4.319,149.21,32.337,160.428,44.488,4.17,185,0.029296875,0.126953125,0.304,10.264,146.243,45.383,0.126953125,0.80078125,0.451,3.419,164.48,45.039
1780533900,hdr,43.4375178,-70.3493467,0.569,9.309,4.668,145.877,23.422,158.723,38.691,3.6,171,0.029296875,0.126953125,0.347,10.039,149.051,35.435,0.126953125,0.80078125,0.451,3.542,163.993,40.965
1780534200,embedded,43.4375167,-70.3493167,0.57,9.3,4.66,149.951,26.611,156.677,43.554,3.2,182,,,,,,,,,,,,
1780534800,hdr,43.4375133,-70.3493348,0.558,8.533,4.735,148.791,23.522,159.841,41.487,3.11,181,0.029296875,0.126953125,0.329,10.315,149.329,41.449,0.126953125,0.80078125,0.45,3.675,162.699,41.341
1780535700,hdr,43.4375122,-70.3493365,0.568,8.533,4.615,150.838,32.499,162.35,42.177,4.43,176,0.029296875,0.126953125,0.327,10.323,151.6,43.354,0.126953125,0.80078125,0.464,3.621,165.79,42.215
1780536000,embedded,43.4375167,-70.3493167,0.57,8.54,4.6,151.293,28.404,158.809,45.731,4.0,182,,,,,,,,,,,,
1780536600,hdr,43.4374947,-70.3493462,0.581,8.533,4.671,151.861,25.719,163.129,40.759,4.21,174,0.029296875,0.126953125,0.329,10.01,153.031,37.859,0.126953125,0.80078125,0.479,3.732,166.475,42.247
1780537500,hdr,43.4375002,-70.3493588,0.591,7.877,4.826,152.531,32.988,159.343,40.965,4.17,178,0.029296875,0.126953125,0.328,10.366,148.145,42.113,0.126953125,0.80078125,0.492,3.901,162.66,40.327
1780537800,embedded,43.4375,-70.34935,0.59,7.88,4.7,149.217,31.387,158.27,42.408,3.6,177,,,,,,,,,,,,
1780538400,hdr,43.4375377,-70.3493678,0.579,8.533,4.756,158.284,29.281,162.229,40.023,4.18,176,0.029296875,0.126953125,0.331,9.945,150.491,38.928,0.126953125,0.80078125,0.475,3.796,165.608,41.459
1780539300,hdr,43.4375313,-70.3493698,0.607,7.877,4.87,152.46,23.875,159.467,37.136,4.08,174,0.029296875,0.126953125,0.326,9.96,154.698,39.125,0.126953125,0.80078125,0.512,4.032,159.739,37.03
1780539600,embedded,43.4375167,-70.3493667,0.62,7.88,4.94,152.292,22.798,156.467,38.967,3.6,171,,,,,,,,,,,,
1780540200,hdr,43.4375435,-70.3493845,0.643,8.533,4.81,147.56,27.8,157.905,35.375,3.58,161,0.029296875,0.126953125,0.374,9.824,151.047,33.223,0.126953125,0.80078125,0.522,3.81,160.019,37.462
1780541100,hdr,43.4375513,-70.3493873,0.611,3.938,4.479,166.829,27.841,160.466,37.286,4.86,166,0.029296875,0.126953125,0.309,10.265,153.172,38.927,0.126953125,0.80078125,0.527,3.749,161.07,38.659
1780541400,embedded,43.43755,-70.3493833,0.62,3.94,4.62,167.95,28.579,156.919,40.672,4.0,171,,,,,,,,,,,,
1780542000,hdr,43.4375623,-70.3493975,0.634,7.877,4.739,159.056,33.727,160.345,37.443,4.81,166,0.029296875,0.126953125,0.322,10.321,151.09,39.911,0.126953125,0.80078125,0.547,3.991,162.38,36.763
1780542900,hdr,43.4375553,-70.3494012,0.631,7.877,4.55,151.755,29.554,161.682,38.448,4.57,171,0.029296875,0.126953125,0.306,9.776,156.573,41.893,0.126953125,0.80078125,0.551,3.906,161.874,38.309
1780543200,embedded,43.43755,-70.3494,0.63,7.88,4.56,154.0,32.118,160.681,41.184,4.8,171,,,,,,,,,,,,
1780543800,hdr,43.437574,-70.3494348,0.68,7.877,4.625,156.961,32.72,163.621,38.398,5.15,181,0.029296875,0.126953125,0.347,10.135,155.012,43.082,0.126953125,0.80078125,0.584,3.881,165.534,37.145
1780544700,hdr,43.4375673,-70.349454,0.664,8.533,4.751,146.499,31.361,156.137,38.347,4.57,164,0.029296875,0.126953125,0.34,10.06,145.344,40.611,0.126953125,0.80078125,0.57,4.0,158.742,37.771
1780545000,embedded,43.4375667,-70.34945,0.66,8.54,4.7,147.758,33.766,156.022,41.629,4.4,171,,,,,,,,,,,,
1780545600,hdr,43.4375662,-70.3494708,0.624,9.309,4.607,155.581,38.635,160.26,41.823,3.46,175,0.029296875,0.126953125,0.32,10.125,151.594,43.715,0.126953125,0.80078125,0.535,3.855,161.995,42.262
1780546500,hdr,43.4375575,-70.349506,0.655,4.096,4.402,171.933,28.944,163.648,38.751,4.5,172,0.029296875,0.126953125,0.303,10.076,161.903,45.416,0.126953125,0.80078125,0.581,3.816,162.615,37.859
1780546800,embedded,43.4375667,-70.3494833,0.65,4.1,4.46,166.057,28.964,161.125,42.475,4.4,165,,,,,,,,,,,,
1780547400,hdr,43.4375532,-70.3495318,0.654,7.877,4.511,149.723,30.22,159.178,37.956,3.69,171,0.029296875,0.126953125,0.277,9.91,148.37,42.278,0.126953125,0.80078125,0.592,4.03,159.968,37.313
1780548300,hdr,43.4375383,-70.3495698,0.694,4.096,4.484,174.248,28.294,162.305,37.684,5.34,174,0.029296875,0.126953125,0.307,9.921,155.934,42.578,0.126953125,0.80078125,0.622,3.956,162.982,37.209
1780548600,embedded,43.4375333,-70.3495667,0.68,4.26,4.52,168.4,29.196,159.705,40.313,4.8,171,,,,,,,,,,,,
1780549200,hdr,43.4375338,-70.349579,0.719,4.267,4.526,163.859,25.729,163.57,34.915,5.59,166,0.029296875,0.126953125,0.306,9.717,159.846,41.061,0.126953125,0.80078125,0.651,4.048,163.266,34.576
1780550100,hdr,43.4375298,-70.3495855,0.665,4.267,4.345,167.423,26.652,163.704,36.545,4.57,167,0.029296875,0.126953125,0.231,9.956,153.233,45.867,0.126953125,0.80078125,0.623,4.033,163.767,35.578
1780550400,embedded,43.4375333,-70.3495667,0.69,4.26,4.44,165.826,27.332,161.934,38.936,4.8,171,,,,,,,,,,,,
1780551000,hdr,43.4375387,-70.3495803,0.653,4.452,4.447,164.046,29.428,164.286,36.891,3.79,167,0.029296875,0.126953125,0.258,9.743,159.355,45.191,0.126953125,0.80078125,0.6,4.039,164.507,35.823
1780551900,hdr,43.4375507,-70.3495712,0.677,4.096,4.452,173.319,27.36,163.752,36.642,4.96,173,0.029296875,0.126953125,0.283,9.947,156.286,42.702,0.126953125,0.80078125,0.615,3.986,163.827,36.083
1780552200,embedded,43.4375333,-70.34955,0.66,4.66,4.48,162.916,26.66,162.541,39.497,4.0,171,,,,,,,,,,,,
1780552800,hdr,43.4375415,-70.3495622,0.656,4.267,4.625,168.088,34.283,160.187,37.417,3.74,168,0.029296875,0.126953125,0.302,9.935,150.787,38.032,0.126953125,0.80078125,0.582,4.043,162.378,37.698
1780553700,hdr,43.4375358,-70.3495257,0.645,4.655,4.368,161.187,27.976,163.947,38.01,4.12,182,0.029296875,0.126953125,0.257,10.239,153.713,45.238,0.126953125,0.80078125,0.592,3.942,165.085,36.661
1780554000,embedded,43.4375333,-70.3495167,0.66,4.26,4.5,171.325,32.159,160.457,40.434,3.6,177,,,,,,,,,,,,
1780554600,hdr,43.4375288,-70.349515,0.658,4.452,4.646,165.139,31.085,161.388,39.17,3.15,173,0.029296875,0.126953125,0.296,9.916,155.962,42.182,0.126953125,0.80078125,0.587,4.093,161.743,38.902
